B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 1
B20, Blotteritem, {'type': 'Trade', 'time': 381.3499999997901, 'price': 99.0, 'party1': 'B20', 'party2': 'S02', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 395.38749999977733, 'price': 101.0, 'party1': 'B20', 'party2': 'S08', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 459.69999999971884, 'price': 100.0, 'party1': 'B20', 'party2': 'S03', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 503.12499999967935, 'price': 101.0, 'party1': 'B20', 'party2': 'S06', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 538.1374999997663, 'price': 101, 'party1': 'S14', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 566.8999999998709, 'price': 101.0, 'party1': 'B20', 'party2': 'S11', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 589.2124999999521, 'price': 101.0, 'party1': 'B20', 'party2': 'S00', 'qty': 1}
B21, 19
B21, Blotteritem, {'type': 'Trade', 'time': 26.52499999999903, 'price': 103.0, 'party1': 'B21', 'party2': 'S09', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 54.525000000003836, 'price': 103.0, 'party1': 'B21', 'party2': 'S15', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 82.85000000001027, 'price': 103.0, 'party1': 'B21', 'party2': 'S09', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 135.30000000001388, 'price': 103, 'party1': 'B21', 'party2': 'S02', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 175.98749999997688, 'price': 103.0, 'party1': 'B21', 'party2': 'S05', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 226.92499999993055, 'price': 103.0, 'party1': 'B21', 'party2': 'S16', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 240.03749999991862, 'price': 103.0, 'party1': 'B21', 'party2': 'S03', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 267.6374999998935, 'price': 103.0, 'party1': 'B21', 'party2': 'S03', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 290.69999999987255, 'price': 90.0, 'party1': 'B21', 'party2': 'S05', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 317.662499999848, 'price': 87, 'party1': 'B21', 'party2': 'S03', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 344.68749999982344, 'price': 103.0, 'party1': 'B21', 'party2': 'S10', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 387.64999999978437, 'price': 103.0, 'party1': 'B21', 'party2': 'S03', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 405.0999999997685, 'price': 103.0, 'party1': 'B21', 'party2': 'S06', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 453.32499999972464, 'price': 103.0, 'party1': 'B21', 'party2': 'S11', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 486.8749999996941, 'price': 103.0, 'party1': 'B21', 'party2': 'S05', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 492.7124999996888, 'price': 103.0, 'party1': 'B21', 'party2': 'S16', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 526.5874999997243, 'price': 103, 'party1': 'S00', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 554.7499999998267, 'price': 103.0, 'party1': 'B21', 'party2': 'S12', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 583.1124999999299, 'price': 101, 'party1': 'B21', 'party2': 'S03', 'qty': 1}
B22, 19
B22, Blotteritem, {'type': 'Trade', 'time': 17.937499999999517, 'price': 106.0, 'party1': 'B22', 'party2': 'S06', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 59.70000000000501, 'price': 102, 'party1': 'S14', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 68.78750000000707, 'price': 106.0, 'party1': 'B22', 'party2': 'S01', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 98.41250000001381, 'price': 105.0, 'party1': 'S19', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 148.20000000000215, 'price': 98, 'party1': 'S04', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 160.64999999999083, 'price': 106.0, 'party1': 'B22', 'party2': 'S06', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 211.19999999994485, 'price': 106.0, 'party1': 'B22', 'party2': 'S05', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 233.5874999999245, 'price': 102, 'party1': 'S20', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 257.27499999990295, 'price': 106.0, 'party1': 'B22', 'party2': 'S19', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 290.56249999987267, 'price': 102, 'party1': 'S20', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 327.8999999998387, 'price': 106.0, 'party1': 'S22', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 342.3374999998256, 'price': 106.0, 'party1': 'B22', 'party2': 'S06', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 373.737499999797, 'price': 99, 'party1': 'S14', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 428.2749999997474, 'price': 106.0, 'party1': 'B22', 'party2': 'S02', 'qty': 1}
