Trd, 000002.563, 72
Trd, 000003.588, 96
Trd, 000008.800, 122
Trd, 000009.025, 119
Trd, 000009.862, 108
Trd, 000010.825, 108
Trd, 000011.112, 99
Trd, 000012.537, 116
Trd, 000016.537, 103
Trd, 000017.237, 99
Trd, 000017.825, 99
Trd, 000018.100, 91.0
Trd, 000019.787, 96
Trd, 000020.925, 97
Trd, 000021.300, 95
Trd, 000022.500, 85
Trd, 000023.050, 101
Trd, 000026.587, 90
Trd, 000029.187, 96.0
Trd, 000030.725, 100.0
Trd, 000031.350, 103.0
Trd, 000031.550, 90.0
Trd, 000040.838, 110
Trd, 000040.925, 109
Trd, 000041.925, 108
Trd, 000042.388, 119.0
Trd, 000042.763, 108
Trd, 000043.150, 108
Trd, 000045.213, 117
Trd, 000046.225, 109
Trd, 000048.863, 109
Trd, 000049.213, 108
Trd, 000049.225, 108
Trd, 000050.513, 103
Trd, 000051.675, 91.0
Trd, 000053.063, 92
Trd, 000054.775, 99
Trd, 000058.863, 91
Trd, 000059.288, 91
Trd, 000060.525, 97
Trd, 000060.600, 85.0
Trd, 000062.613, 99
Trd, 000068.213, 98
Trd, 000070.225, 98
Trd, 000070.250, 97
Trd, 000074.725, 92
Trd, 000075.850, 89
Trd, 000076.775, 83.0
Trd, 000077.238, 91
Trd, 000078.988, 93.0
Trd, 000080.013, 96.0
Trd, 000083.138, 96
Trd, 000085.175, 96
Trd, 000085.338, 98
Trd, 000085.713, 101
Trd, 000086.288, 102
Trd, 000087.013, 103.0
Trd, 000088.725, 108.0
Trd, 000089.863, 100
Trd, 000090.150, 99
Trd, 000092.088, 103
Trd, 000092.413, 99
Trd, 000095.050, 99
Trd, 000095.400, 98
Trd, 000095.763, 98
Trd, 000096.550, 99
Trd, 000098.288, 97
Trd, 000100.425, 97
Trd, 000102.050, 93
Trd, 000103.838, 93
Trd, 000105.525, 91.0
Trd, 000105.625, 93
Trd, 000107.688, 91
Trd, 000109.825, 93
Trd, 000111.125, 93
Trd, 000112.225, 96.0
Trd, 000115.788, 101
Trd, 000116.413, 101
Trd, 000116.838, 103.0
Trd, 000119.675, 106
Trd, 000120.163, 106
Trd, 000121.788, 107.0
Trd, 000122.588, 107
Trd, 000123.275, 105
Trd, 000123.425, 105
Trd, 000123.588, 104
Trd, 000124.325, 108.0
Trd, 000126.425, 107
Trd, 000126.763, 105
Trd, 000128.138, 97
Trd, 000129.300, 110
Trd, 000132.288, 108
Trd, 000134.250, 110
Trd, 000134.463, 110
Trd, 000134.488, 107
Trd, 000139.425, 106
Trd, 000139.550, 107
Trd, 000143.600, 103.0
Trd, 000144.638, 92
Trd, 000144.825, 104
Trd, 000147.275, 98
Trd, 000150.787, 102
Trd, 000151.287, 103
Trd, 000151.625, 94
Trd, 000152.712, 103
Trd, 000156.625, 109
Trd, 000158.350, 108
Trd, 000159.725, 104
Trd, 000159.912, 92.0
Trd, 000162.600, 91.0
Trd, 000162.925, 98
Trd, 000162.937, 99
Trd, 000164.275, 99
Trd, 000166.450, 96.0
Trd, 000170.562, 96
Trd, 000170.775, 98
Trd, 000170.887, 97
Trd, 000172.937, 96
Trd, 000174.462, 96
Trd, 000174.525, 95
Trd, 000176.262, 97
Trd, 000182.512, 96
Trd, 000182.575, 97
Trd, 000182.837, 96
Trd, 000183.450, 103.0
Trd, 000184.562, 96
Trd, 000187.550, 98
Trd, 000187.925, 98
Trd, 000189.025, 99
Trd, 000189.662, 96
Trd, 000189.925, 96
Trd, 000193.800, 101
Trd, 000195.862, 96
Trd, 000197.350, 105.0
Trd, 000201.037, 100
Trd, 000201.550, 99
Trd, 000202.412, 97
Trd, 000204.712, 98.0
Trd, 000207.862, 98
Trd, 000208.975, 98
Trd, 000210.125, 98
Trd, 000211.587, 98
Trd, 000212.937, 100.0
Trd, 000214.662, 100.0
Trd, 000215.125, 103.0
Trd, 000217.075, 108.0
Trd, 000217.687, 97
Trd, 000218.787, 96
Trd, 000220.587, 103
Trd, 000221.187, 107.0
Trd, 000223.675, 103.0
Trd, 000227.500, 99
Trd, 000230.400, 98
Trd, 000231.600, 97
Trd, 000231.900, 99
Trd, 000233.250, 100
Trd, 000235.275, 99
Trd, 000237.162, 100
Trd, 000237.350, 99
Trd, 000238.462, 100
Trd, 000240.887, 99
Trd, 000241.087, 97
Trd, 000245.825, 93
Trd, 000246.112, 91.0
Trd, 000248.212, 92
Trd, 000248.500, 91
Trd, 000249.587, 91
Trd, 000250.312, 91
Trd, 000251.587, 91
Trd, 000252.600, 98
Trd, 000253.537, 93
Trd, 000254.175, 99
Trd, 000258.575, 101
Trd, 000258.687, 96
Trd, 000260.087, 97
Trd, 000261.812, 96
Trd, 000264.187, 95
Trd, 000265.625, 96
Trd, 000265.662, 97
