B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 2
B20, Blotteritem, {'type': 'Trade', 'time': 207.8624999999479, 'price': 98, 'party1': 'S02', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 238.46249999992006, 'price': 100, 'party1': 'S02', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 289.4374999998737, 'price': 92, 'party1': 'S09', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 340.39999999982734, 'price': 89.0, 'party1': 'S15', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 392.8999999997796, 'price': 100, 'party1': 'B20', 'party2': 'S01', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 413.2374999997611, 'price': 94, 'party1': 'S12', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 446.9624999997304, 'price': 96.0, 'party1': 'S18', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 457.5749999997208, 'price': 96, 'party1': 'S04', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 593.3374999999671, 'price': 100, 'party1': 'B20', 'party2': 'S08', 'qty': 1}
B21, 13
B21, Blotteritem, {'type': 'Trade', 'time': 62.612500000005674, 'price': 99, 'party1': 'B21', 'party2': 'S01', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 86.28750000001105, 'price': 102, 'party1': 'B21', 'party2': 'S02', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 95.7625000000132, 'price': 98, 'party1': 'B21', 'party2': 'S05', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 144.6375000000054, 'price': 92, 'party1': 'B21', 'party2': 'S08', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 172.93749999997965, 'price': 96, 'party1': 'S14', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 250.31249999990928, 'price': 91, 'party1': 'S04', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 351.3624999998174, 'price': 92, 'party1': 'S03', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 378.76249999979245, 'price': 103, 'party1': 'B21', 'party2': 'S06', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 417.3999999997573, 'price': 93, 'party1': 'S07', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 427.624999999748, 'price': 98, 'party1': 'S03', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 464.72499999971427, 'price': 96, 'party1': 'S14', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 498.8624999996832, 'price': 93, 'party1': 'S00', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 548.237499999803, 'price': 89, 'party1': 'B21', 'party2': 'S10', 'qty': 1}
B22, 14
B22, Blotteritem, {'type': 'Trade', 'time': 22.499999999999257, 'price': 85, 'party1': 'B22', 'party2': 'S01', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 83.13750000001033, 'price': 96, 'party1': 'B22', 'party2': 'S08', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 112.22500000001695, 'price': 96.0, 'party1': 'S18', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 189.02499999996502, 'price': 99, 'party1': 'S03', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 215.12499999994128, 'price': 103.0, 'party1': 'S21', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 251.58749999990812, 'price': 91, 'party1': 'S16', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 327.53749999983904, 'price': 92, 'party1': 'S15', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 344.087499999824, 'price': 91, 'party1': 'S04', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 418.6499999997562, 'price': 100, 'party1': 'B22', 'party2': 'S02', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 429.78749999974605, 'price': 103.0, 'party1': 'S21', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 444.8999999997323, 'price': 91, 'party1': 'S02', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 482.3749999996982, 'price': 103.0, 'party1': 'S21', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 519.2374999996975, 'price': 92, 'party1': 'S16', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 551.0624999998133, 'price': 101, 'party1': 'S02', 'party2': 'B22', 'qty': 1}
B23, 18
B23, Blotteritem, {'type': 'Trade', 'time': 21.299999999999326, 'price': 95, 'party1': 'B23', 'party2': 'S05', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 60.5250000000052, 'price': 97, 'party1': 'B23', 'party2': 'S16', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 78.98750000000939, 'price': 93.0, 'party1': 'S17', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 144.82500000000522, 'price': 104, 'party1': 'S19', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 170.77499999998162, 'price': 98, 'party1': 'S15', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 193.79999999996068, 'price': 101, 'party1': 'S20', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 233.2499999999248, 'price': 100, 'party1': 'B23', 'party2': 'S01', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 252.5999999999072, 'price': 98, 'party1': 'S19', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 313.11249999985216, 'price': 98.0, 'party1': 'S00', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 320.4124999998455, 'price': 94, 'party1': 'S14', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 349.63749999981894, 'price': 91, 'party1': 'S07', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 391.63749999978074, 'price': 108.0, 'party1': 'S23', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 401.0124999997722, 'price': 98, 'party1': 'B23', 'party2': 'S06', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 443.8124999997333, 'price': 89, 'party1': 'S12', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 458.38749999972003, 'price': 95, 'party1': 'S12', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 508.3124999996746, 'price': 101, 'party1': 'S20', 'party2': 'B23', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 522.6374999997099, 'price': 98, 'party1': 'B23', 'party2': 'S08', 'qty': 1}
B23, Blotteritem, {'type': 'Trade', 'time': 565.9499999998675, 'price': 98, 'party1': 'S19', 'party2': 'B23', 'qty': 1}
B24, 20
B24, Blotteritem, {'type': 'Trade', 'time': 31.549999999998743, 'price': 90.0, 'party1': 'B24', 'party2': 'S11', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 42.76250000000116, 'price': 108, 'party1': 'B24', 'party2': 'S08', 'qty': 1}
