B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 1
B19, Blotteritem, {'type': 'Trade', 'time': 331.14999999983576, 'price': 98.0, 'party1': 'B19', 'party2': 'S02', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 341.39999999982643, 'price': 98.0, 'party1': 'B19', 'party2': 'S14', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 394.0749999997785, 'price': 98.0, 'party1': 'B19', 'party2': 'S00', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 410.29999999976377, 'price': 98.0, 'party1': 'B19', 'party2': 'S01', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 431.32499999974465, 'price': 97, 'party1': 'S06', 'party2': 'B19', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 484.4749999996963, 'price': 98.0, 'party1': 'B19', 'party2': 'S06', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 486.3374999996946, 'price': 98.0, 'party1': 'B19', 'party2': 'S18', 'qty': 1}
B19, Blotteritem, {'type': 'Trade', 'time': 549.7874999998087, 'price': 98.0, 'party1': 'B19', 'party2': 'S18', 'qty': 1}
B20, 20
B20, Blotteritem, {'type': 'Trade', 'time': 16.712499999999586, 'price': 101.0, 'party1': 'B20', 'party2': 'S00', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 59.937500000005066, 'price': 101.0, 'party1': 'B20', 'party2': 'S00', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 92.26250000001241, 'price': 98, 'party1': 'S11', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 106.7500000000157, 'price': 93.0, 'party1': 'S17', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 143.70000000000624, 'price': 101.0, 'party1': 'B20', 'party2': 'S02', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 176.89999999997605, 'price': 101.0, 'party1': 'B20', 'party2': 'S00', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 183.14999999997036, 'price': 93, 'party1': 'S12', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 210.94999999994508, 'price': 99, 'party1': 'S15', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 252.0499999999077, 'price': 101.0, 'party1': 'S20', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 300.81249999986335, 'price': 96.0, 'party1': 'S18', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 323.57499999984265, 'price': 101.0, 'party1': 'B20', 'party2': 'S13', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 365.6374999998044, 'price': 101.0, 'party1': 'B20', 'party2': 'S17', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 366.68749999980344, 'price': 101.0, 'party1': 'B20', 'party2': 'S02', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 407.1624999997666, 'price': 101.0, 'party1': 'B20', 'party2': 'S19', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 428.9749999997468, 'price': 95, 'party1': 'S13', 'party2': 'B20', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 476.59999999970347, 'price': 101.0, 'party1': 'B20', 'party2': 'S18', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 496.84999999968505, 'price': 101.0, 'party1': 'B20', 'party2': 'S03', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 528.2874999997305, 'price': 101.0, 'party1': 'B20', 'party2': 'S04', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 548.3249999998034, 'price': 101.0, 'party1': 'B20', 'party2': 'S09', 'qty': 1}
B20, Blotteritem, {'type': 'Trade', 'time': 597.6749999999829, 'price': 101.0, 'party1': 'B20', 'party2': 'S17', 'qty': 1}
B21, 12
B21, Blotteritem, {'type': 'Trade', 'time': 71.35000000000765, 'price': 101.0, 'party1': 'S20', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 88.20000000001149, 'price': 101, 'party1': 'S01', 'party2': 'B21', 'qty': 1}
